PM2.5 (µg/m³) Predicted,PM2.5 (µg/m³) Actual,PM2.5 (µg/m³) MSE
59.79942,18.0,1747.1914624342608
59.62004,18.0,1732.2278039811645
59.516262,18.0,1723.6000149732135
59.540916,18.0,1725.647738913598
59.56866,18.0,1727.9535553916503
59.477764,14.0,2068.22703023105
59.283745,14.0,2050.6175441993983
59.30854,14.0,2052.863828125468
59.273247,14.0,2049.6668726569624
59.240196,13.0,2138.155747206474
59.192226,13.0,2133.7217807045818
59.193474,13.0,2133.837023181899
59.228554,13.0,2137.0791838481673
59.240856,12.0,2231.698491736446
59.16148,12.0,2224.2051910696464
