SO2 (µg/m³) Predicted,SO2 (µg/m³) Actual,SO2 (µg/m³) MSE
17.1414,4.8,152.31013874416297
17.261522,4.0,175.8679735301448
17.24324,3.8,180.72071128115988
17.255224,3.3,194.74828325111432
17.204494,2.8,207.4894611182861
17.205193,2.7,210.40061137436192
17.31241,1.4,253.20480329363505
17.29591,1.2,259.0783149163245
17.36032,1.2,261.155914628216
17.368681,1.3,258.20250760078324
17.343004,1.5,251.00078292674516
17.331526,1.7000000000000002,244.3445989177343
17.320446,1.9,237.79015528315736
17.309109,2.1,231.3169884866156
17.261744,2.0,232.92081604959458
