SO2 (µg/m³) Predicted,SO2 (µg/m³) Actual,SO2 (µg/m³) MSE
13.022494,4.8,67.60941277831446
13.029771,4.0,81.53676162401189
13.047716,3.8,85.52025381983387
13.037539,3.3,94.81965659289983
13.035636,2.8,104.76824326369827
13.047849,2.7,107.0779727486603
13.045908,1.4,135.6271725445405
13.029342,1.2,139.93332500077528
13.016405,1.2,139.62742961943283
13.020841,1.3,137.37810542164954
13.030113,1.5,132.9435108709731
13.034451,1.7000000000000002,128.469768839819
13.0313015,1.9,123.9058730485734
13.033156,2.1,119.53390875662187
13.053472,2.0,122.17923364371472
