CO (mg/m³) Predicted,CO (mg/m³) Actual,CO (mg/m³) MSE
1.0644299,1.35,0.08155029390027328
1.0474449,0.95,0.009495516256247933
1.0302714,1.04,9.464544505792743e-05
1.0382637,0.9399999999999998,0.009655750522319304
1.0333543,0.82,0.04552004980952226
1.0207636,0.83,0.036390764680826505
1.0500871,0.84,0.04413658719433555
1.0441507,0.86,0.033911484032505754
1.0560038,0.79,0.07075802638932517
1.0398982,0.74,0.08993890464382284
1.047463,0.79,0.06628722696866335
1.0429921,0.8,0.059045167962258324
1.0495679,0.7,0.12219774317336718
1.0441386,0.58,0.21542459430007244
1.051666,0.55,0.25166879697417466
