CO (mg/m³) Predicted,CO (mg/m³) Actual,CO (mg/m³) MSE
1.0603322,1.35,0.08390744648261324
1.0714569,0.95,0.014751780787482868
1.0740331,1.04,0.0011582546955944256
1.0773416,0.9399999999999998,0.01886270315532206
1.076839,0.82,0.06596625660534522
1.0746287,0.83,0.059843206121624505
1.0813282,0.84,0.05823927772492254
1.0800345,0.86,0.04841517872587438
1.0824616,0.79,0.08553378486304071
1.0794182,0.74,0.11520470252542292
1.0818801,0.79,0.08519398846835573
1.0806116,0.8,0.07874286251774774
1.0810715,0.7,0.14521548507116738
1.0794692,0.58,0.24946948569342242
1.0796186,0.55,0.2804958330665209
