NO2 (µg/m³) Predicted,NO2 (µg/m³) Actual,NO2 (µg/m³) MSE
58.391388,43.2,230.77826752696177
56.656704,38.7,322.4432167111202
55.28414,40.9,206.9035278579244
55.613808,41.2,207.75785178479032
55.316944,38.7,276.12283196412073
54.660378,38.3,267.661952022391
55.92198,42.3,185.55838847347542
55.75211,49.8,35.42760782840258
56.370934,45.8,111.74463575307519
55.569344,43.7,140.88131670898053
55.784176,40.4,236.67286728532582
55.597633,45.9,94.0440928202146
56.02294,43.5,156.82406605040887
55.719345,38.7,289.6581073869112
56.011543,28.8,740.4680873487354
