NO2 (µg/m³) Predicted,NO2 (µg/m³) Actual,NO2 (µg/m³) MSE
62.035164,43.2,354.7633983636483
61.08497,38.7,501.0868177408561
60.386837,40.9,379.7368164834154
60.323112,41.2,365.6934312207833
60.309895,38.7,466.98754297071184
60.27616,38.3,482.9516608179758
61.031525,42.3,350.8700160208718
61.14412,49.8,128.6890418462549
61.25045,45.8,238.71640935179087
61.210243,43.7,306.60861780207824
61.09137,40.4,428.132777120024
61.062584,45.9,229.90395123232392
61.203777,43.5,313.423731156523
61.195248,38.7,506.0361668414208
61.163254,28.8,1047.3801954992211
