NO (µg/m³) Predicted,NO (µg/m³) Actual,NO (µg/m³) MSE
21.917412,28.4,42.02394971633561
22.42156,20.7,2.9637698234130245
22.598425,17.2,29.142991525093247
22.628311,12.8,96.59570020326412
22.64623,18.8,14.793490579405473
22.679121,14.0,75.32714163564742
23.403122,33.7,106.02569761277182
23.419338,20.6,7.948668034379945
23.376368,40.5,293.21878763303175
23.448734,11.3,147.59174468980692
23.412329,25.0,2.520700093042251
23.433834,19.8,13.204750091373565
23.37268,14.3,82.31353443205356
23.370077,10.4,168.2229008406053
23.493961,8.8,215.91249969180265
