Ozone (µg/m³) Predicted,Ozone (µg/m³) Actual,Ozone (µg/m³) MSE
35.783703,32.2,12.842926119547899
35.307327,24.2,123.37271909416654
35.005806,21.6,179.71563368486468
35.00013,21.9,171.61339814914626
34.959045,22.4,157.7296216143668
34.903175,21.6,176.97447449937692
34.906933,21.3,185.1486210621899
34.94657,21.4,183.50959534328666
34.99951,21.1,193.19642601966854
34.94612,21.4,183.49739999369723
34.89483,21.0,193.0662672808976
34.897007,22.3,158.68458506895752
34.965107,23.8,124.65961352004726
34.93134,23.7,126.14298166118157
34.91735,23.125,139.0595366601483
