Ozone (µg/m³) Predicted,Ozone (µg/m³) Actual,Ozone (µg/m³) MSE
39.576168,32.2,54.407855253830164
38.855076,24.2,214.77124776423503
38.46957,21.6,284.58239738019705
38.42414,21.9,273.0472334803106
38.405975,22.4,256.19124664220965
38.369198,21.6,281.2059963801462
38.10383,21.3,282.36864991078386
38.132645,21.4,279.98139709428887
38.203316,21.1,292.5234091264219
38.134747,21.4,280.05174214339877
38.118706,21.0,293.0500865383656
38.092213,22.3,249.39398123566116
38.189106,23.8,207.0463711209135
38.187946,23.7,209.90058855903396
38.083958,23.125,223.7704146362521
