PM10 (µg/m³) Predicted,PM10 (µg/m³) Actual,PM10 (µg/m³) MSE
228.4714,194.0,1188.277764693834
225.46162,196.0,867.9872972911689
223.24168,196.0,742.109344974393
223.60759,196.0,762.1790102405939
223.17914,196.0,738.7055524028838
222.30652,110.0,12612.754109874368
223.76134,110.0,12941.641859796131
223.65144,110.0,12916.650605416158
224.47453,110.0,13104.418724125484
223.44089,110.0,12868.834945709445
223.57738,110.0,12899.820638738805
223.36812,110.0,12852.330243738601
224.00174,110.0,12996.39660947118
223.58124,90.0,17843.947090301663
223.88635,90.0,17925.555396214128
