PM10 (µg/m³) Predicted,PM10 (µg/m³) Actual,PM10 (µg/m³) MSE
224.9749,194.0,959.4443861490581
223.16232,196.0,737.7917906502262
222.58221,196.0,706.6141200400889
222.19196,196.0,686.0185363925993
222.29488,196.0,691.4205090424512
222.47786,110.0,12651.26887704269
219.92477,110.0,12083.455976308323
220.1037,110.0,12122.824474129826
220.06924,110.0,12115.238559433259
220.25768,110.0,12156.754934091354
219.99455,110.0,12098.801604381064
220.00522,110.0,12101.148098521866
220.12897,110.0,12128.389435295016
220.31139,90.0,16981.057349492097
219.67134,90.0,16814.656661795685
