Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,164.0,295.0,14.0,51.3,38.7,36.5,3.2,1.0,29.3,0.6,1.8,,,,,10.1,81.4,0.6,256.9,0.0,0.0,52.4,995.0,
2024-01-01 00:15:00,164.0,295.0,7.9,50.4,33.2,36.2,3.0,1.0,29.8,0.6,1.6,,,,,10.1,81.7,0.7,333.9,0.0,0.0,52.4,994.8,
2024-01-01 00:30:00,164.0,295.0,4.1,42.8,26.1,35.9,2.9,0.9,29.9,0.6,1.6,,,,,10.0,81.7,1.0,352.3,0.0,0.0,52.2,994.8,
2024-01-01 00:45:00,182.0,328.0,9.7,49.9,34.5,36.0,2.8,0.9,31.8,0.6,1.9,,,,,10.0,81.7,2.1,2.0,0.0,0.0,52.4,994.8,
2024-01-01 01:00:00,182.0,328.0,10.4,46.3,33.2,36.8,3.3,0.9,,0.5,2.0,,,,,10.0,81.6,1.1,346.5,0.0,0.0,52.8,994.8,
2024-01-01 01:15:00,182.0,328.0,10.3,46.4,32.9,40.0,2.7,0.9,,0.5,2.0,,,,,10.1,81.7,0.7,4.4,0.0,0.0,53.2,994.8,
2024-01-01 01:30:00,182.0,328.0,5.4,40.9,25.8,42.1,2.8,0.8,,0.5,1.9,,,,,10.0,81.6,2.5,0.7,0.0,0.0,53.1,994.8,
2024-01-01 01:45:00,168.0,302.0,5.8,40.1,26.1,39.3,,0.8,30.8,0.5,1.9,,,,,10.0,81.9,1.5,357.3,0.0,0.0,53.1,994.8,
2024-01-01 02:00:00,168.0,302.0,,,,,,,31.7,0.5,1.7,,,,,10.0,82.0,1.0,357.2,0.0,0.0,53.3,994.9,
2024-01-01 02:15:00,168.0,302.0,,,,,,,29.4,0.5,1.6,,,,,10.0,82.0,0.6,330.2,0.0,0.0,53.3,995.0,
2024-01-01 02:30:00,168.0,302.0,,,,,,,28.6,0.5,1.6,,,,,10.0,81.6,1.5,251.9,0.0,0.0,54.0,995.0,
2024-01-01 02:45:00,162.0,292.0,11.0,48.6,34.9,29.5,2.3,0.8,23.9,0.6,1.6,,,,,10.0,81.5,0.9,235.7,0.0,0.0,54.3,995.0,
2024-01-01 03:00:00,162.0,292.0,15.7,51.5,40.2,27.7,2.6,0.8,20.0,0.5,1.6,,,,,9.9,81.7,0.7,304.6,0.0,0.0,53.7,995.0,
2024-01-01 03:15:00,162.0,292.0,12.1,48.5,35.7,26.3,2.7,0.8,18.2,0.5,1.4,,,,,10.0,81.7,1.0,314.9,0.0,0.0,53.8,994.9,
2024-01-01 03:30:00,162.0,292.0,9.0,50.5,34.3,26.7,2.3,0.8,18.3,0.5,1.3,,,,,10.0,81.3,0.9,320.2,0.0,0.0,53.7,994.9,
2024-01-01 03:45:00,160.0,288.0,5.3,44.7,28.1,27.4,2.4,,17.7,0.6,1.3,,,,,9.9,81.3,1.0,327.2,0.0,0.0,53.6,994.9,
2024-01-01 04:00:00,160.0,288.0,7.2,43.7,29.2,27.3,3.1,0.8,16.8,0.6,1.3,,,,,9.9,81.4,2.0,354.0,0.0,0.0,53.4,994.8,
2024-01-01 04:15:00,160.0,288.0,3.7,47.5,28.2,27.4,2.6,0.8,14.6,0.5,1.2,,,,,9.9,81.4,1.8,356.2,0.0,0.0,53.4,994.8,
2024-01-01 04:30:00,160.0,288.0,2.9,42.2,24.8,28.8,2.5,0.8,13.6,0.6,1.3,,,,,9.9,81.9,1.6,346.4,0.0,0.0,53.5,994.6,
2024-01-01 04:45:00,166.0,299.0,6.8,38.9,26.5,29.5,2.5,0.8,13.2,0.6,1.4,,,,,9.9,81.7,0.6,277.1,0.0,0.0,54.1,994.7,
2024-01-01 05:00:00,166.0,299.0,8.9,38.9,27.8,29.5,3.0,0.8,12.4,0.6,1.4,,,,,9.9,81.8,1.4,344.7,0.0,0.0,53.7,994.7,
2024-01-01 05:15:00,166.0,299.0,6.8,38.8,26.0,29.6,3.2,0.7,13.6,0.6,1.4,,,,,9.9,81.6,1.8,346.5,0.0,0.0,53.6,994.8,
2024-01-01 05:30:00,166.0,299.0,7.3,32.9,23.3,29.4,2.1,0.7,12.4,0.5,1.4,,,,,9.8,81.6,1.1,315.3,0.0,0.0,54.1,994.9,
2024-01-01 05:45:00,164.0,295.0,5.4,33.5,22.2,26.3,1.5,0.7,10.6,0.5,1.3,,,,,9.7,81.9,1.0,312.0,0.0,0.0,53.7,995.1,
