timestamp,pollutant,mlp_layers,lstm_layers,lstm_units,bidirectional,mse,mae
2025-02-06T15:19:55.144797,PM2.5 (µg/m³),"[64, 32]",1,128,True,0.0007540109800174832,0.016897542402148247
2025-02-06T15:20:17.477448,PM2.5 (µg/m³),[128],2,64,False,0.0004541346861515194,0.011243176646530628
2025-02-06T15:20:56.121515,PM2.5 (µg/m³),"[256, 128]",1,256,True,0.0005157465348020196,0.013250009156763554
2025-02-06T15:21:32.852854,PM2.5 (µg/m³),"[64, 64]",2,128,False,0.0005829280707985163,0.013885624706745148
2025-02-06T15:21:46.111551,PM2.5 (µg/m³),"[128, 64, 32]",1,64,True,0.0007830802351236343,0.01806640625
2025-02-06T15:22:32.939523,PM10 (µg/m³),"[64, 32]",1,128,True,0.0008725317311473191,0.017997566610574722
2025-02-06T15:22:53.657585,PM10 (µg/m³),[128],2,64,False,0.0005630728555843234,0.01123314630240202
2025-02-06T15:23:59.622356,PM10 (µg/m³),"[256, 128]",1,256,True,0.0006004145834594965,0.013025309890508652
2025-02-06T15:24:46.197381,PM10 (µg/m³),"[64, 64]",2,128,False,0.0007293429807759821,0.016142165288329124
2025-02-06T15:25:13.653457,PM10 (µg/m³),"[128, 64, 32]",1,64,True,0.000673264148645103,0.015668533742427826
2025-02-06T15:25:47.567357,NO (µg/m³),"[64, 32]",1,128,True,8.00043999333866e-05,0.0037319231778383255
2025-02-06T15:26:03.259032,NO (µg/m³),[128],2,64,False,9.577963646734133e-05,0.005008244886994362
2025-02-06T15:27:24.358690,NO (µg/m³),"[256, 128]",1,256,True,7.376819121418521e-05,0.003615571651607752
2025-02-06T15:28:28.286353,NO (µg/m³),"[64, 64]",2,128,False,9.517472062725574e-05,0.0038472688756883144
2025-02-06T15:28:56.316823,NO (µg/m³),"[128, 64, 32]",1,64,True,8.065114525379613e-05,0.0037373993545770645
2025-02-06T15:29:31.847429,NO2 (µg/m³),"[64, 32]",1,128,True,0.0002631052630022168,0.010759308002889156
2025-02-06T15:29:56.642298,NO2 (µg/m³),[128],2,64,False,0.00027224727091379464,0.01001508254557848
2025-02-06T15:30:32.346261,NO2 (µg/m³),"[256, 128]",1,256,True,0.00029115090728737414,0.01110612042248249
2025-02-06T15:30:55.280824,NO2 (µg/m³),"[64, 64]",2,128,False,0.0002989743952639401,0.011084422469139099
2025-02-06T15:31:20.647216,NO2 (µg/m³),"[128, 64, 32]",1,64,True,0.0002529025368858129,0.010107413865625858
2025-02-06T15:31:55.139658,SO2 (µg/m³),"[64, 32]",1,128,True,0.00013329922512639314,0.009308594278991222
2025-02-06T15:32:25.773451,SO2 (µg/m³),[128],2,64,False,6.023035530233756e-05,0.005579765420407057
2025-02-06T15:34:19.203770,SO2 (µg/m³),"[256, 128]",1,256,True,7.202991400845349e-05,0.00643119914457202
2025-02-06T15:35:10.629692,SO2 (µg/m³),"[64, 64]",2,128,False,0.00012485911429394037,0.00884545873850584
2025-02-06T15:35:28.713133,SO2 (µg/m³),"[128, 64, 32]",1,64,True,0.00011124320735689253,0.008622042834758759
2025-02-06T15:36:04.462032,CO (mg/m³),"[64, 32]",1,128,True,0.000324365624692291,0.014701959677040577
2025-02-06T15:36:34.038071,CO (mg/m³),[128],2,64,False,0.00021927893976680934,0.010472727008163929
2025-02-06T15:37:55.149503,CO (mg/m³),"[256, 128]",1,256,True,0.00027023194706998765,0.012269350700080395
2025-02-06T15:38:25.487871,CO (mg/m³),"[64, 64]",2,128,False,0.00027919758576899767,0.013280795887112617
2025-02-06T15:38:57.637716,CO (mg/m³),"[128, 64, 32]",1,64,True,0.0003416864201426506,0.01490925531834364
2025-02-06T15:39:15.569470,Ozone (µg/m³),"[64, 32]",1,128,True,0.0010401234030723572,0.017655814066529274
2025-02-06T15:39:53.249990,Ozone (µg/m³),[128],2,64,False,0.0009099102462641895,0.014498504810035229
2025-02-06T15:40:24.870599,Ozone (µg/m³),"[256, 128]",1,256,True,0.0011333273723721504,0.019524458795785904
2025-02-06T15:40:46.654266,Ozone (µg/m³),"[64, 64]",2,128,False,0.0014516037190333009,0.021591603755950928
2025-02-06T15:40:58.899084,Ozone (µg/m³),"[128, 64, 32]",1,64,True,0.0012000511633232236,0.02051699534058571
